station_name,population
Sydney Olympic Park,5840
Chatswood,25553
Abbotsford,7073
Marrickville,28590
Randwick,144598
Rose Bay,10220
Centennial Park,2374
Millers Point,2929
Dundee,155
Guyra,2,077
Pinkett,
Glen Elgin,
Ebor,
Glen Innes,
Kookabookra,
Avoca Beach,
Concord,
Cronulla,
Mascot,
Randwick, 
Sans Souci,
Terrey Hills,
Lucas Heights,
Mount-Gai,
Gordon,
Collaroy,
Bankstown,
Mona Vale,
Duffys Forest,
Peakhurst,
Macqurie Park,
Holsworthy,
Audley,
Canterbury,
Wahroonga, 
Honrnsby, 
North Parramatta, 
North Rocks,

